customer,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
Keystone Builders,0,0,1040,1220,1220,1220,1220,1220,1220,1490,1490,1490,1490,1490,1490,1490,1750,1750
Lodestar Mapping,0,0,0,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310
Mosaic Tiles,0,0,0,1170,1170,1170,1170,1170,1170,1170,1170,880,880,880,880,1060,1060,1060
Nettle Organics,0,0,0,1210,1210,1210,1210,1210,1210,1210,1210,1480,1480,1480,1480,1480,1480,1480
Oakridge Schools,0,0,0,0,1390,1390,1390,1390,1700,1980,1980,1980,1980,1980,1980,2250,2250,2250
Palisade Storage,0,0,0,0,2970,2970,2970,2970,3560,3560,4520,4520,4520,4520,4520,4520,5500,5500
Quantum Lenders,0,0,0,0,0,1850,1850,1850,1850,2310,2310,2310,2310,2310,2310,2310,2310,2310
Riverbend Vets,0,0,0,0,0,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
Sterling Brokers,0,0,0,0,0,0,1290,1290,1290,1290,1290,1290,1290,1290,1290,1650,1650,1810
Thistle Tea,0,0,0,0,0,0,1730,1730,2050,2050,2050,2050,2050,2050,2370,2370,2370,2370
Unity Credit Union,0,0,0,0,0,0,0,2810,2810,2810,2810,2810,2810,2810,2810,2810,2810,2810
Verdant Garden,0,0,0,0,0,0,0,2660,2660,2660,2660,3270,3270,3270,3270,3270,3970,3970
Waypoint Couriers,0,0,0,0,0,0,0,0,2530,2530,2530,2530,2840,2840,3290,4120,4120,4120
Xylo Instruments,0,0,0,0,0,0,0,0,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150
Yarrow Wellness,0,0,0,0,0,0,0,0,0,1220,1490,1490,1490,1490,1490,1490,1490,1490
Zenith Optics,0,0,0,0,0,0,0,0,0,1380,1380,1380,1380,1380,1380,1690,1690,1690
Aspen Clinics,0,0,0,0,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470,2470,2470
Bramble Bakeries,0,0,0,0,0,0,0,0,0,0,2940,2940,2940,2150,2150,2150,2150,2150
Crescent Bank,0,0,0,0,0,0,0,0,0,0,2940,2940,3540,3540,3540,3540,3540,3540
Dovetail Joinery,0,0,0,0,0,0,0,0,0,0,0,1420,1610,1610,1850,1850,2290,2290
Elmstead Water,0,0,0,0,0,0,0,0,0,0,0,2420,2420,2420,2420,2420,2420,2930
Fenwick Retail,0,0,0,0,0,0,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
Galloway Energy,0,0,0,0,0,0,0,0,0,0,0,0,2280,2490,2490,2490,2490,2490
Hartwell Logistics,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,2020,2020,1710,1710
Islington Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,2770,2770,2770,2770,2770
Juno Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2790,3170,3170,3170
Kingfisher Travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1690,1690,1690,1690
Linden Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940,1940,1940
Maple Leaf Foods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660,1660,1660
Norbury Metals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,1440
Oxbow Outfitters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,1140
Penrose Labs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640,1640
Quayside Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2440
Rosewood Hotels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2940
Stonebridge Law,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2870
